#mpa_vOct22_CHOCOPhlAnSGB_202212
clade_name	metaphlan_w_uc_FKO01_S1	metaphlan_w_uc_FKO03_S2	metaphlan_w_uc_FKO04_S3	metaphlan_w_uc_FKO05_S4	metaphlan_w_uc_FKO06_S5	metaphlan_w_uc_FKO07_S6	metaphlan_w_uc_FKO08_S7	metaphlan_w_uc_FKO09_S8	metaphlan_w_uc_FWT01_S10	metaphlan_w_uc_FWT02_S11	metaphlan_w_uc_FWT03_S12	metaphlan_w_uc_FWT04_S13	metaphlan_w_uc_FWT05_S14	metaphlan_w_uc_FWT06_S15	metaphlan_w_uc_FWT07_S16	metaphlan_w_uc_FWT10_S19	metaphlan_w_uc_FYEX-2_S52	metaphlan_w_uc_FYEX-4_S54	metaphlan_w_uc_FYEX-5_S55	metaphlan_w_uc_FYKO-5_S44	metaphlan_w_uc_FYWT-1_S59	metaphlan_w_uc_FYWT-3_S60	metaphlan_w_uc_MKO01_S20	metaphlan_w_uc_MKO02_S21	metaphlan_w_uc_MKO03_S22	metaphlan_w_uc_MKO04_S23	metaphlan_w_uc_MKO05_S24	metaphlan_w_uc_MKO06_S25	metaphlan_w_uc_MKO07_S26	metaphlan_w_uc_MKO08_S27	metaphlan_w_uc_MKO09_S28	metaphlan_w_uc_MKO10_S29	metaphlan_w_uc_MWT01_S30	metaphlan_w_uc_MWT03_S32	metaphlan_w_uc_MWT05_S33	metaphlan_w_uc_MWT07_S35	metaphlan_w_uc_MWT08_S36	metaphlan_w_uc_MYEX-10_S84	metaphlan_w_uc_MYEX-11_S85	metaphlan_w_uc_MYEX-1_S76	metaphlan_w_uc_MYEX-2_S77	metaphlan_w_uc_MYEX-5_S79	metaphlan_w_uc_MYEX-6_S80	metaphlan_w_uc_MYEX-7_S81	metaphlan_w_uc_MYEX-8_S82	metaphlan_w_uc_MYKO-2_S67	metaphlan_w_uc_MYKO-4_S69	metaphlan_w_uc_MYKO-5_S70	metaphlan_w_uc_MYKO-6_S71	metaphlan_w_uc_MYKO-7_S72	metaphlan_w_uc_MYKO-9_S74	metaphlan_w_uc_MYWT-3_S88	metaphlan_w_uc_MYWT-6_S91
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Corynebacteriales|f__Corynebacteriaceae|g__Corynebacterium	0.00432	0.00674	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00462	0.0	0.0	0.0	0.39028	0.26714	0.67185	0.68657	2.71052	2.88183	0.0	0.00917	0.00975	0.0	0.0	0.0	0.14406	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2146	0.0	0.0	0.20581	0.2066	0.00213	0.0	0.07476	0.0	0.99974	0.29305	0.0471	0.0	0.0	0.00356	0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_danieliae	63.04846	61.24702	66.66742	65.79079	26.37188	62.23999	67.61629	64.20752	38.00925	48.76548	60.01747	46.7531	63.799	42.60529	41.65415	46.24657	34.94475	47.40133	51.57518	43.69381	62.88169	55.18845	52.8128	65.89879	51.45639	47.75264	49.6509	53.50562	35.84288	42.24019	39.70585	8.13408	6.19714	32.93798	11.22156	1.79954	34.11364	63.96155	48.27695	67.94202	49.44258	58.3453	43.83657	54.74187	61.96479	33.9693	32.84464	59.50398	58.45145	53.24332	64.02508	62.13464	0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_thoraltensis	1.17958	3.20255	0.12238	0.30533	16.01295	0.66868	1.63821	1.80268	1.11759	4.35973	4.95647	4.27751	3.11993	7.64391	0.34709	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.9021	0.0	4.06578	0.8974	1.82757	0.30668	8.34239	2.92305	3.39732	0.38004	0.0	0.0	1.66294	0.2964	0.65533	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Ligilactobacillus|s__Ligilactobacillus_murinus	0.7955	1.597	0.08272	0.12574	5.58484	4.43331	3.5732	0.38432	4.7409	8.96315	0.94025	2.77706	0.19638	2.39037	33.5533	13.03996	9.35348	5.90893	20.63457	27.6241	0.30769	4.34951	6.60231	1.02365	5.92264	18.60057	10.46517	4.66096	5.14816	11.70698	5.61386	0.0	70.79588	39.54065	68.88274	77.85429	38.97495	0.98039	1.78092	1.25111	0.0	0.75802	0.7998	2.95372	3.57699	2.9506	1.97938	1.40202	2.27608	2.0045	0.0	0.30775	3.53205
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Staphylococcaceae|g__Staphylococcus|s__Staphylococcus_xylosus	0.39589	1.24062	0.022	0.0	24.6212	0.51071	3.91974	0.01052	23.21317	10.50514	1.63367	12.84378	0.07037	1.00359	0.02117	1.6472	0.0	0.0	0.0	0.0	0.0	0.0	0.16671	0.0	0.00428	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.63211	0.06857	0.0	0.72024	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.38707	0.0	0.0	0.0	0.0	0.0	2.38341
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Escherichia|s__Escherichia_coli	0.23313	0.05658	0.0	1.09834	0.97507	0.0	0.0	0.1009	1.18275	0.0	0.63855	0.18413	0.3686	2.0006	0.06955	0.63021	0.0	0.0	0.0	2.49883	1.48293	0.0	0.0	0.0	0.0	0.0	0.15397	0.37005	0.0	0.08896	0.0	0.0	0.00971	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0234	0.0	0.0	0.0	0.0	0.01033	0.0	0.02354	0.0	0.0	0.0	0.0
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Corynebacteriales|f__Corynebacteriaceae|g__Corynebacterium|s__Corynebacterium_mastitidis	0.00432	0.00674	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00462	0.0	0.0	0.0	0.39028	0.26714	0.67185	0.68657	2.71052	2.88183	0.0	0.00917	0.00975	0.0	0.0	0.0	0.14406	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2146	0.0	0.0	0.20581	0.2066	0.00213	0.0	0.07476	0.0	0.99974	0.29305	0.0471	0.0	0.0	0.00356	0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_danieliae|t__SGB82603	63.04846	61.24702	66.66742	65.79079	26.37188	62.23999	67.61629	64.20752	38.00925	48.76548	60.01747	46.7531	63.799	42.60529	41.65415	46.24657	34.94475	47.40133	51.57518	43.69381	62.88169	55.18845	52.8128	65.89879	51.45639	47.75264	49.6509	53.50562	35.84288	42.24019	39.70585	8.13408	6.19714	32.93798	11.22156	1.79954	34.11364	63.96155	48.27695	67.94202	49.44258	58.3453	43.83657	54.74187	61.96479	33.9693	32.84464	59.50398	58.45145	53.24332	64.02508	62.13464	0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_thoraltensis|t__SGB29808	1.17958	3.20255	0.12238	0.30533	16.01295	0.66868	1.63821	1.80268	1.11759	4.35973	4.95647	4.27751	3.11993	7.64391	0.34709	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.9021	0.0	4.06578	0.8974	1.82757	0.30668	8.34239	2.92305	3.39732	0.38004	0.0	0.0	1.66294	0.2964	0.65533	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Ligilactobacillus|s__Ligilactobacillus_murinus|t__SGB7077	0.7955	1.597	0.08272	0.12574	5.58484	4.43331	3.5732	0.38432	4.7409	8.96315	0.94025	2.77706	0.19638	2.39037	33.5533	13.03996	9.35348	5.90893	20.63457	27.6241	0.30769	4.34951	6.60231	1.02365	5.92264	18.60057	10.46517	4.66096	5.14816	11.70698	5.61386	0.0	70.79588	39.54065	68.88274	77.85429	38.97495	0.98039	1.78092	1.25111	0.0	0.75802	0.7998	2.95372	3.57699	2.9506	1.97938	1.40202	2.27608	2.0045	0.0	0.30775	3.53205
